Entity,Year,"Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in industry, female (% of female employment) (modeled ILO estimate)",Population (historical estimates),Continent
Afghanistan,2019,16.85,25.02,37769496,Asia
Albania,2019,22.88,16.31,2873883,Europe
Algeria,2019,31.71,23.48,42705372,Africa
Angola,2019,12.7,0.92,32353592,Africa
Argentina,2019,31.2,9.2,44745516,South America
Armenia,2019,35.85,11.4,2820604,Asia
Australia,2019,29.17,7.45,25357168,Oceania
Austria,2019,37.16,11.76,8879939,Europe
Azerbaijan,2019,23.09,5.91,10232761,Asia
Bahamas,2019,24.96,2.91,404563,North America
Bahrain,2019,41.67,8.57,1494195,Asia
Bangladesh,2019,22.87,17.66,165516224,Asia
Barbados,2019,28.53,9.01,280193,North America
Belarus,2019,41.84,18.75,9673971,Europe
Belgium,2019,31.6,8.41,11510569,Europe
Belize,2019,19.4,9.26,389103,North America
Benin,2019,20.38,16.16,12290443,Africa
Bhutan,2019,10.55,9.57,767467,Asia
Bolivia,2019,26.65,10.24,11777318,South America
Bosnia and Herzegovina,2019,40.74,16.85,3360718,Europe
Botswana,2019,24.95,9.24,2499705,Africa
Brazil,2019,26.95,10.57,211782880,South America
Brunei,2019,29.06,9.42,438058,Asia
Bulgaria,2019,36.75,22.23,7052536,Europe
Burkina Faso,2019,25.15,25.16,20951638,Africa
Burundi,2019,5.99,0.91,11874838,Africa
Cambodia,2019,29.43,26.29,16207746,Asia
Cameroon,2019,17.44,10.98,25782342,Africa
Canada,2019,29.14,8.35,37522584,North America
Cape Verde,2019,30.1,11.41,577037,Africa
Central African Republic,2019,7.68,4.57,5209329,Africa
Chad,2019,3,0.54,16126868,Africa
Chile,2019,30.97,10.16,19039484,South America
China,2019,30.83,23.06,1421864064,Asia
Colombia,2019,24.21,14.4,50187404,South America
Comoros,2019,20.54,16.39,790993,Africa
Congo,2019,20.76,22.23,5570736,Africa
Costa Rica,2019,24.05,10.03,5084527,North America
Cote d'Ivoire,2019,14.56,10.47,26147544,Africa
Croatia,2019,37.56,16.16,4129749,Europe
Cuba,2019,21.28,10.42,11316699,North America
Cyprus,2019,27.99,7.07,1228840,Europe
Czechia,2019,48.2,23.64,10536876,Europe
Democratic Republic of Congo,2019,15.89,3.48,89906896,Africa
Denmark,2019,27.28,8.79,5795879,Europe
Djibouti,2019,17.81,6.8,1073999,Africa
Dominican Republic,2019,24.9,9.28,10881886,North America
East Timor,2019,23.49,7.57,1280442,Asia
Ecuador,2019,22.27,9.81,17343742,South America
Egypt,2019,31.93,8.01,105618672,Africa
El Salvador,2019,26.03,17.67,6280222,North America
Equatorial Guinea,2019,23.8,11.65,1553037,Africa
Eritrea,2019,9.67,4.5,3498819,Africa
Estonia,2019,39.42,17.05,1327039,Europe
Eswatini,2019,24.46,22.17,1169620,Africa
Ethiopia,2019,9.51,9.1,114120592,Africa
European Union (27),2019,35.119526,12.953247,445027038,
Fiji,2019,17.36,7.51,918472,Oceania
Finland,2019,33.63,8.79,5521539,Europe
France,2019,30.52,9.54,64399760,Europe
French Polynesia,2019,25.03,5.49,299730,Oceania
Gabon,2019,15.29,2.72,2242788,Africa
Gambia,2019,23.14,4.04,2508882,Africa
Georgia,2019,21.54,5.58,3770814,Asia
Germany,2019,38.74,13.9,83148144,Europe
Ghana,2019,19.26,23.11,31522294,Africa
Greece,2019,20.68,7.83,10574026,Europe
Guam,2019,23.82,3.54,168632,Oceania
Guatemala,2019,19.53,17.07,17106338,North America
Guinea,2019,10.41,1.98,12877537,Africa
Guinea-Bissau,2019,11.21,5.77,1970460,Africa
Guyana,2019,33.58,10.95,798761,South America
Haiti,2019,10.59,2,11160441,North America
High-income countries,2019,32.10998,11.072819,1214846354,
Honduras,2019,22.8,19.04,9958832,North America
Hong Kong,2019,18.64,3.43,7496121,Asia
Hungary,2019,42.19,19.99,9771799,Europe
Iceland,2019,26.61,7.35,360787,Europe
India,2019,27.07,17.35,1383112064,Asia
Indonesia,2019,26.07,16.67,269582880,Asia
Iran,2019,32.42,26.7,86564208,Asia
Iraq,2019,23.75,16.18,41563524,Asia
Ireland,2019,27.22,8.84,4896021,Europe
Israel,2019,25.58,7.95,8607922,Asia
Italy,2019,35.19,13.02,59727936,Europe
Jamaica,2019,24.68,5.72,2813776,North America
Japan,2019,32.36,13.9,125791680,Asia
Jordan,2019,26.73,12.97,10698682,Asia
Kazakhstan,2019,29.34,11.83,18754260,Asia
Kenya,2019,10.63,1.62,50951452,Africa
Kuwait,2019,28.24,2.97,4441105,Asia
